Rk,Squad,Competition,# of Players,Weekly Wages,Annual Wages,% Estimated,Season
90,Dijon,fr Ligue 1,36,"€ 211,635 (£ 177,457, $215,679)","€ 11,005,000 (£ 9,227,786, $11,215,324)",100%,2017-2018
91,Strasbourg,fr Ligue 1,31,"€ 207,769 (£ 174,216, $211,740)","€ 10,804,000 (£ 9,059,242, $11,010,479)",100%,2017-2018
92,Caen,fr Ligue 1,33,"€ 201,135 (£ 168,653, $204,979)","€ 10,459,000 (£ 8,769,954, $10,658,893)",100%,2017-2018
93,Crotone,it Serie A,40,"€ 198,192 (£ 166,186, $201,980)","€ 10,306,000 (£ 8,641,672, $10,502,963)",100%,2017-2018
94,Angers,fr Ligue 1,33,"€ 194,808 (£ 163,348, $198,531)","€ 10,130,000 (£ 8,494,086, $10,323,602)",100%,2017-2018
95,Guingamp,fr Ligue 1,30,"€ 177,154 (£ 148,545, $180,540)","€ 9,212,000 (£ 7,724,338, $9,388,060)",100%,2017-2018
96,Troyes,fr Ligue 1,31,"€ 132,115 (£ 110,780, $134,640)","€ 6,870,000 (£ 5,760,548, $7,001,300)",100%,2017-2018
1,Barcelona,es La Liga,92,"€ 5,152,596 (£ 4,320,495, $5,251,071)","€ 267,935,000 (£ 224,665,737, $273,055,692)",100%,2018-2019
2,Juventus,it Serie A,109,"€ 4,563,596 (£ 3,826,614, $4,650,814)","€ 237,307,000 (£ 198,983,907, $241,842,338)",100%,2018-2019
3,Real Madrid,es La Liga,92,"€ 4,466,808 (£ 3,745,456, $4,552,176)","€ 232,274,000 (£ 194,763,689, $236,713,149)",100%,2018-2019
4,Atlético Madrid,es La Liga,88,"€ 3,896,462 (£ 3,267,216, $3,970,930)","€ 202,616,000 (£ 169,895,214, $206,488,336)",100%,2018-2019
5,Paris S-G,fr Ligue 1,94,"€ 3,863,346 (£ 3,239,448, $3,937,181)","€ 200,894,000 (£ 168,451,304, $204,733,422)",100%,2018-2019
6,Bayern Munich,de Bundesliga,78,"€ 3,730,731 (£ 3,128,249, $3,802,031)","€ 193,998,000 (£ 162,668,949, $197,705,635)",100%,2018-2019
