,,,,,,Rk,Squad,Competition,# of Players,Average Age,Possession,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90
93,Valladolid,es La Liga,36,27.4,48.7,38,418,"3,420",38.0,32,24,56,29,3,4,94,6,38.5,35.4,28.4,63.7,610,1244,0.84,0.63,1.47,0.76,1.39,1.01,0.75,1.76,0.93,1.68
94,Villarreal,es La Liga,32,28.4,56.9,38,418,"3,420",38.0,57,33,90,53,4,7,91,4,61.6,56.1,43.2,99.3,846,1622,1.50,0.87,2.37,1.39,2.26,1.62,1.14,2.76,1.48,2.61
95,Werder Bremen,de Bundesliga,25,27.4,49.3,34,374,"3,060",34.0,50,37,87,45,5,6,76,1,41.1,36.4,29.0,65.4,412,1140,1.47,1.09,2.56,1.32,2.41,1.21,0.85,2.06,1.07,1.92
96,West Ham,eng Premier League,25,28.2,42.1,38,418,"3,420",38.0,41,25,66,35,6,8,44,0,49.2,43.7,32.7,76.4,615,1274,1.08,0.66,1.74,0.92,1.58,1.29,0.86,2.15,1.15,2.01
97,Wolfsburg,de Bundesliga,28,24.8,50.6,34,374,"3,060",34.0,55,44,99,51,4,7,63,0,51.3,45.8,39.2,84.9,455,1306,1.62,1.29,2.91,1.50,2.79,1.51,1.15,2.66,1.35,2.50
98,Wolves,eng Premier League,32,26.7,49.9,38,418,"3,420",38.0,28,12,40,25,3,3,85,6,36.8,34.5,25.4,60.0,610,1343,0.74,0.32,1.05,0.66,0.97,0.97,0.67,1.64,0.91,1.58
1,Alavés,es La Liga,30,25.6,41.8,38,418,"3,420",38.0,33,28,61,30,3,7,84,1,46.2,40.7,32.4,73.0,550,1260,0.87,0.74,1.61,0.79,1.53,1.22,0.85,2.07,1.07,1.92
2,Almería,es La Liga,35,25.6,46.4,38,418,"3,420",38.0,42,25,67,40,2,2,93,6,48.7,47.1,34.2,81.4,590,1097,1.11,0.66,1.76,1.05,1.71,1.28,0.90,2.18,1.24,2.14
3,Arsenal,eng Premier League,25,25.0,58.2,38,418,"3,420",38.0,86,62,148,76,10,10,64,2,76.1,68.5,55.3,123.8,821,2106,2.26,1.63,3.89,2.00,3.63,2.00,1.46,3.46,1.80,3.26
4,Aston Villa,eng Premier League,31,26.9,53.1,38,418,"3,420",38.0,72,55,127,68,4,4,94,2,63.3,60.3,48.6,108.9,775,1451,1.89,1.45,3.34,1.79,3.24,1.67,1.28,2.95,1.59,2.87
5,Atalanta,it Serie A,29,26.3,51.1,38,418,"3,420",38.0,72,57,129,67,5,5,76,1,57.8,53.9,43.9,97.8,715,1754,1.89,1.50,3.39,1.76,3.26,1.52,1.16,2.68,1.42,2.57
6,Athletic Club,es La Liga,27,27.3,49.8,38,418,"3,420",38.0,59,41,100,56,3,5,80,5,52.7,48.7,37.0,85.8,735,1610,1.55,1.08,2.63,1.47,2.55,1.39,0.97,2.36,1.28,2.26
7,Atlético Madrid,es La Liga,27,29.2,50.8,38,418,"3,420",38.0,68,48,116,63,5,6,89,5,62.4,57.9,47.4,105.2,758,1597,1.79,1.26,3.05,1.66,2.92,1.64,1.25,2.89,1.52,2.77
8,Augsburg,de Bundesliga,29,26.0,43.9,34,374,"3,060",34.0,49,35,84,44,5,7,71,3,46.1,40.7,27.7,68.4,462,1137,1.44,1.03,2.47,1.29,2.32,1.36,0.81,2.17,1.20,2.01
9,Barcelona,es La Liga,29,26.0,64.3,38,418,"3,420",38.0,76,55,131,70,6,7,87,2,77.6,72.1,57.4,129.5,964,1925,2.00,1.45,3.45,1.84,3.29,2.04,1.51,3.55,1.90,3.41
10,Bayern Munich,de Bundesliga,30,27.4,61.3,34,374,"3,060",34.0,93,71,164,88,5,5,47,2,85.2,81.3,65.9,147.3,944,1941,2.74,2.09,4.82,2.59,4.68,2.50,1.94,4.44,2.39,4.33
11,Betis,es La Liga,35,27.8,50.4,38,418,"3,420",38.0,46,31,77,44,2,3,87,3,43.9,41.7,32.7,74.4,676,1441,1.21,0.82,2.03,1.16,1.97,1.16,0.86,2.02,1.10,1.96
12,Bochum,de Bundesliga,25,29.1,46.6,34,374,"3,060",34.0,41,30,71,37,4,4,97,2,44.5,41.4,30.4,71.8,400,1151,1.21,0.88,2.09,1.09,1.97,1.31,0.89,2.20,1.22,2.11
13,Bologna,it Serie A,28,25.2,58.1,38,418,"3,420",38.0,52,32,84,48,4,5,85,2,47.9,44.0,32.1,76.1,660,1453,1.37,0.84,2.21,1.26,2.11,1.26,0.84,2.11,1.16,2.00
14,Bournemouth,eng Premier League,30,25.7,44.4,38,418,"3,420",38.0,52,39,91,50,2,3,79,3,55.9,53.6,40.5,94.0,709,1314,1.37,1.03,2.39,1.32,2.34,1.47,1.06,2.54,1.41,2.47
15,Brentford,eng Premier League,28,26.6,45.2,38,418,"3,420",38.0,54,38,92,51,3,3,89,2,58.2,56.0,42.7,98.8,505,1283,1.42,1.00,2.42,1.34,2.34,1.53,1.12,2.66,1.47,2.60
16,Brest,fr Ligue 1,25,27.0,53.6,34,374,"3,060",34.0,51,33,84,47,4,4,84,5,48.3,45.1,34.4,79.5,590,1402,1.50,0.97,2.47,1.38,2.35,1.42,1.01,2.43,1.33,2.34
17,Brighton,eng Premier League,30,25.9,59.8,38,418,"3,420",38.0,50,36,86,45,5,6,90,3,56.8,52.2,41.6,93.8,864,1780,1.32,0.95,2.26,1.18,2.13,1.49,1.09,2.59,1.37,2.47
18,Burnley,eng Premier League,31,24.5,47.4,38,418,"3,420",38.0,40,30,70,37,3,3,77,7,40.6,38.3,29.7,68.0,727,1181,1.05,0.79,1.84,0.97,1.76,1.07,0.78,1.85,1.01,1.79
19,Cádiz,es La Liga,34,28.5,43.3,38,418,"3,420",38.0,25,17,42,22,3,3,107,7,36.0,33.6,25.2,58.9,456,1017,0.66,0.45,1.11,0.58,1.03,0.95,0.66,1.61,0.88,1.55
20,Cagliari,it Serie A,29,26.1,42.1,38,418,"3,420",38.0,41,30,71,37,4,6,77,4,42.9,38.4,29.1,67.5,529,1109,1.08,0.79,1.87,0.97,1.76,1.13,0.77,1.90,1.01,1.78
21,Celta Vigo,es La Liga,31,26.7,46.1,38,418,"3,420",38.0,45,35,80,42,3,5,66,5,50.7,46.9,38.2,85.1,660,1345,1.18,0.92,2.11,1.11,2.03,1.34,1.01,2.34,1.23,2.24
22,Chelsea,eng Premier League,32,24.2,58.6,38,418,"3,420",38.0,76,51,127,65,11,12,109,4,74.5,65.1,51.4,116.5,873,1615,2.00,1.34,3.34,1.71,3.05,1.96,1.35,3.31,1.71,3.06
23,Clermont Foot,fr Ligue 1,31,26.8,48.9,34,374,"3,060",34.0,26,18,44,20,6,8,60,7,36.0,29.8,23.1,52.8,537,1247,0.76,0.53,1.29,0.59,1.12,1.06,0.68,1.74,0.88,1.55
24,Crystal Palace,eng Premier League,26,26.7,42.3,38,418,"3,420",38.0,56,43,99,52,4,4,73,2,48.6,45.4,38.7,84.1,506,1176,1.47,1.13,2.61,1.37,2.50,1.28,1.02,2.30,1.20,2.21
25,Darmstadt 98,de Bundesliga,32,27.1,45.7,34,374,"3,060",34.0,28,21,49,25,3,3,83,4,32.3,30.0,22.8,52.8,437,1083,0.82,0.62,1.44,0.74,1.35,0.95,0.67,1.62,0.88,1.55
26,Dortmund,de Bundesliga,32,26.8,57.8,34,374,"3,060",34.0,68,49,117,62,6,6,59,4,63.5,58.8,45.6,104.4,770,1452,2.00,1.44,3.44,1.82,3.26,1.87,1.34,3.21,1.73,3.07
27,Eint Frankfurt,de Bundesliga,34,25.3,52.1,34,374,"3,060",34.0,48,36,84,46,2,3,70,5,46.2,44.4,34.1,78.5,574,1305,1.41,1.06,2.47,1.35,2.41,1.36,1.00,2.36,1.31,2.31
28,Empoli,it Serie A,34,26.0,44.0,38,418,"3,420",38.0,26,19,45,21,5,5,88,1,36.2,32.4,25.8,58.3,524,1056,0.68,0.50,1.18,0.55,1.05,0.95,0.68,1.63,0.85,1.53
29,Everton,eng Premier League,26,27.1,40.8,38,418,"3,420",38.0,40,17,57,38,2,3,82,1,54.0,51.6,38.1,89.8,495,1129,1.05,0.45,1.50,1.00,1.45,1.42,1.00,2.43,1.36,2.36
30,Fiorentina,it Serie A,30,27.0,57.3,38,418,"3,420",38.0,60,41,101,56,4,8,80,0,51.7,45.4,35.3,80.7,621,1656,1.58,1.08,2.66,1.47,2.55,1.36,0.93,2.29,1.19,2.12
31,Freiburg,de Bundesliga,25,27.0,46.6,34,374,"3,060",34.0,43,32,75,36,7,9,64,4,49.4,42.4,32.4,74.8,468,1208,1.26,0.94,2.21,1.06,2.00,1.45,0.95,2.41,1.25,2.20
32,Frosinone,it Serie A,34,24.3,49.7,38,418,"3,420",38.0,44,29,73,36,8,10,68,2,45.8,37.9,30.2,68.1,563,1326,1.16,0.76,1.92,0.95,1.71,1.20,0.79,2.00,1.00,1.79
33,Fulham,eng Premier League,25,28.4,50.6,38,418,"3,420",38.0,54,40,94,52,2,2,84,4,50.8,49.2,37.6,86.8,670,1467,1.42,1.05,2.47,1.37,2.42,1.34,0.99,2.33,1.30,2.29
34,Genoa,it Serie A,34,26.7,44.1,38,418,"3,420",38.0,43,27,70,38,5,6,79,3,35.7,31.0,22.8,53.8,468,1079,1.13,0.71,1.84,1.00,1.71,0.94,0.60,1.54,0.82,1.42
35,Getafe,es La Liga,33,27.3,44.8,38,418,"3,420",38.0,42,27,69,36,6,7,135,10,45.7,40.2,27.9,68.0,439,1141,1.11,0.71,1.82,0.95,1.66,1.20,0.73,1.94,1.06,1.79
36,Girona,es La Liga,25,26.1,56.9,38,418,"3,420",38.0,84,64,148,77,7,8,75,1,70.8,64.6,54.0,118.6,894,1685,2.21,1.68,3.89,2.03,3.71,1.86,1.42,3.28,1.70,3.12
37,Gladbach,de Bundesliga,27,25.4,46.8,34,374,"3,060",34.0,55,43,98,50,5,6,66,2,46.5,41.8,35.5,77.4,598,1227,1.62,1.26,2.88,1.47,2.74,1.37,1.05,2.41,1.23,2.28
38,Granada,es La Liga,40,26.7,45.6,38,418,"3,420",38.0,35,27,62,30,5,8,98,4,42.6,36.4,31.1,67.6,512,1044,0.92,0.71,1.63,0.79,1.50,1.12,0.82,1.94,0.96,1.78
39,Heidenheim,de Bundesliga,22,26.7,42.5,34,374,"3,060",34.0,46,34,80,44,2,3,54,1,39.4,37.0,27.5,64.5,510,983,1.35,1.00,2.35,1.29,2.29,1.16,0.81,1.97,1.09,1.90
40,Hellas Verona,it Serie A,36,25.7,44.4,38,418,"3,420",38.0,38,29,67,35,3,7,88,6,38.0,32.4,27.2,59.6,539,1122,1.00,0.76,1.76,0.92,1.68,1.00,0.72,1.72,0.85,1.57
41,Hoffenheim,de Bundesliga,30,27.7,49.5,34,374,"3,060",34.0,65,47,112,59,6,6,86,5,53.6,49.0,39.9,88.9,538,1359,1.91,1.38,3.29,1.74,3.12,1.58,1.17,2.75,1.44,2.62
42,Inter,it Serie A,27,29.1,57.1,38,418,"3,420",38.0,87,60,147,74,13,14,46,1,78.2,67.4,55.6,123.0,720,1620,2.29,1.58,3.87,1.95,3.53,2.06,1.46,3.52,1.77,3.24
43,Juventus,it Serie A,31,26.5,48.5,38,418,"3,420",38.0,52,37,89,49,3,5,87,2,54.6,50.6,39.6,90.2,709,1473,1.37,0.97,2.34,1.29,2.26,1.44,1.04,2.48,1.33,2.37
44,Köln,de Bundesliga,26,25.4,46.5,34,374,"3,060",34.0,28,17,45,23,5,6,71,4,39.3,34.7,27.2,61.9,618,1086,0.82,0.50,1.32,0.68,1.18,1.16,0.80,1.96,1.02,1.82
45,Las Palmas,es La Liga,29,25.5,59.2,38,418,"3,420",38.0,33,23,56,30,3,5,84,5,33.2,29.2,23.3,52.5,577,1596,0.87,0.61,1.47,0.79,1.39,0.87,0.61,1.49,0.77,1.38
46,Lazio,it Serie A,22,28.2,53.3,38,418,"3,420",38.0,46,30,76,42,4,4,101,5,46.5,43.4,32.9,76.4,716,1528,1.21,0.79,2.00,1.11,1.89,1.22,0.87,2.09,1.14,2.01
47,Le Havre,fr Ligue 1,27,26.2,44.7,34,374,"3,060",34.0,33,23,56,27,6,7,67,6,37.3,31.8,25.3,57.1,457,1199,0.97,0.68,1.65,0.79,1.47,1.10,0.74,1.84,0.94,1.68
48,Lecce,it Serie A,26,24.9,44.9,38,418,"3,420",38.0,30,23,53,27,3,5,89,5,43.1,39.2,30.6,69.9,635,1183,0.79,0.61,1.39,0.71,1.32,1.14,0.81,1.94,1.03,1.84
49,Lens,fr Ligue 1,27,26.7,52.9,34,374,"3,060",34.0,45,29,74,39,6,7,78,4,54.1,48.8,37.2,86.0,609,1624,1.32,0.85,2.18,1.15,2.00,1.59,1.09,2.68,1.44,2.53
50,Leverkusen,de Bundesliga,24,26.2,61.8,34,374,"3,060",34.0,87,71,158,79,8,8,59,0,73.6,67.6,55.2,122.8,888,1997,2.56,2.09,4.65,2.32,4.41,2.16,1.62,3.79,1.99,3.61
51,Lille,fr Ligue 1,28,25.1,56.6,34,374,"3,060",34.0,50,32,82,48,2,3,67,3,48.6,46.2,34.8,81.0,650,1468,1.47,0.94,2.41,1.41,2.35,1.43,1.02,2.45,1.36,2.38
52,Liverpool,eng Premier League,30,26.3,61.3,38,418,"3,420",38.0,80,60,140,74,6,9,69,5,87.8,80.4,63.7,144.1,924,2110,2.11,1.58,3.68,1.95,3.53,2.31,1.68,3.98,2.12,3.79
53,Lorient,fr Ligue 1,38,24.7,46.3,34,374,"3,060",34.0,41,27,68,40,1,1,66,1,37.2,36.4,27.1,63.5,632,1293,1.21,0.79,2.00,1.18,1.97,1.09,0.80,1.89,1.07,1.87
54,Luton Town,eng Premier League,28,26.7,42.4,38,418,"3,420",38.0,49,33,82,44,5,5,71,0,42.4,38.6,29.5,68.2,675,1113,1.29,0.87,2.16,1.16,2.03,1.12,0.78,1.89,1.02,1.79
55,Lyon,fr Ligue 1,35,26.6,51.8,34,374,"3,060",34.0,48,32,80,44,4,4,57,6,49.8,46.9,36.3,83.2,683,1600,1.41,0.94,2.35,1.29,2.24,1.47,1.07,2.53,1.38,2.45
56,Mainz 05,de Bundesliga,30,26.7,46.1,34,374,"3,060",34.0,38,31,69,37,1,5,99,3,44.6,40.7,32.0,72.7,480,1169,1.12,0.91,2.03,1.09,2.00,1.31,0.94,2.25,1.20,2.14
57,Mallorca,es La Liga,25,28.7,45.0,38,418,"3,420",38.0,33,27,60,32,1,3,105,4,40.5,38.2,30.8,69.0,498,1174,0.87,0.71,1.58,0.84,1.55,1.06,0.81,1.87,1.01,1.81
58,Manchester City,eng Premier League,25,26.6,65.2,38,418,"3,420",38.0,94,69,163,85,9,10,53,2,80.5,72.9,60.2,133.1,1127,2060,2.47,1.82,4.29,2.24,4.05,2.12,1.58,3.70,1.92,3.50
59,Manchester Utd,eng Premier League,31,26.1,50.6,38,418,"3,420",38.0,57,36,93,51,6,7,83,1,56.5,51.0,40.1,91.0,759,1479,1.50,0.95,2.45,1.34,2.29,1.49,1.06,2.54,1.34,2.40
60,Marseille,fr Ligue 1,33,27.3,53.7,34,374,"3,060",34.0,50,32,82,46,4,4,61,5,54.9,51.8,40.3,92.1,635,1613,1.47,0.94,2.41,1.35,2.29,1.61,1.19,2.80,1.52,2.71
61,Metz,fr Ligue 1,30,26.5,35.6,34,374,"3,060",34.0,35,25,60,31,4,6,54,3,34.2,29.7,23.2,52.9,458,910,1.03,0.74,1.76,0.91,1.65,1.01,0.68,1.69,0.87,1.56
62,Milan,it Serie A,35,26.6,56.9,38,418,"3,420",38.0,76,56,132,70,6,8,82,8,66.2,60.0,46.0,106.0,898,1569,2.00,1.47,3.47,1.84,3.32,1.74,1.21,2.95,1.58,2.79
63,Monaco,fr Ligue 1,30,25.0,53.6,34,374,"3,060",34.0,66,45,111,64,2,5,79,8,55.0,50.9,37.7,88.6,614,1726,1.94,1.32,3.26,1.88,3.21,1.62,1.11,2.73,1.50,2.61
64,Montpellier,fr Ligue 1,31,26.1,44.6,34,374,"3,060",34.0,41,26,67,34,7,7,68,4,46.0,40.9,31.1,72.0,553,1174,1.21,0.76,1.97,1.00,1.76,1.35,0.91,2.27,1.20,2.12
65,Monza,it Serie A,31,26.8,53.5,38,418,"3,420",38.0,38,29,67,34,4,5,88,5,39.5,35.9,27.8,63.8,723,1248,1.00,0.76,1.76,0.89,1.66,1.04,0.73,1.77,0.95,1.68
66,Nantes,fr Ligue 1,35,26.8,44.8,34,374,"3,060",34.0,30,17,47,26,4,5,67,3,37.6,33.6,25.5,59.1,569,1243,0.88,0.50,1.38,0.76,1.26,1.11,0.75,1.85,0.99,1.74
67,Napoli,it Serie A,29,27.2,60.9,38,418,"3,420",38.0,54,36,90,48,6,10,77,5,61.4,53.3,42.9,96.2,803,1758,1.42,0.95,2.37,1.26,2.21,1.62,1.13,2.74,1.40,2.53
68,Newcastle Utd,eng Premier League,32,27.2,52.2,38,418,"3,420",38.0,83,55,138,75,8,9,79,1,76.0,69.0,51.3,120.3,737,1557,2.18,1.45,3.63,1.97,3.42,2.00,1.35,3.35,1.82,3.17
69,Nice,fr Ligue 1,27,25.8,52.4,34,374,"3,060",34.0,39,23,62,33,6,7,62,4,49.9,44.4,34.6,79.0,661,1245,1.15,0.68,1.82,0.97,1.65,1.47,1.02,2.49,1.31,2.32
70,Nott'ham Forest,eng Premier League,33,25.7,40.6,38,418,"3,420",38.0,49,43,92,48,1,1,82,3,49.9,49.1,38.0,87.1,604,1140,1.29,1.13,2.42,1.26,2.39,1.31,1.00,2.31,1.29,2.29
71,Osasuna,es La Liga,29,27.7,47.5,38,418,"3,420",38.0,45,32,77,41,4,5,78,5,40.5,36.6,28.5,65.1,501,1322,1.18,0.84,2.03,1.08,1.92,1.07,0.75,1.82,0.96,1.71
72,Paris S-G,fr Ligue 1,29,24.7,65.2,34,374,"3,060",34.0,78,61,139,71,7,9,51,3,68.8,61.6,51.6,113.2,845,1915,2.29,1.79,4.09,2.09,3.88,2.02,1.52,3.54,1.81,3.33
73,Rayo Vallecano,es La Liga,26,29.4,49.4,38,418,"3,420",38.0,29,12,41,23,6,6,108,5,42.3,37.7,24.6,62.3,506,1335,0.76,0.32,1.08,0.61,0.92,1.11,0.65,1.76,0.99,1.64
74,RB Leipzig,de Bundesliga,26,25.6,55.3,34,374,"3,060",34.0,74,53,127,70,4,7,61,1,65.6,60.2,47.7,107.9,714,1541,2.18,1.56,3.74,2.06,3.62,1.93,1.40,3.33,1.77,3.17
75,Real Madrid,es La Liga,27,27.4,59.2,38,418,"3,420",38.0,85,66,151,83,2,5,69,4,68.8,65.2,52.5,117.7,950,1935,2.24,1.74,3.97,2.18,3.92,1.81,1.38,3.19,1.71,3.10
76,Real Sociedad,es La Liga,31,25.8,55.3,38,418,"3,420",38.0,48,36,84,44,4,4,98,2,44.9,41.8,30.7,72.5,685,1414,1.26,0.95,2.21,1.16,2.11,1.18,0.81,1.99,1.10,1.91
77,Reims,fr Ligue 1,29,25.9,50.4,34,374,"3,060",34.0,40,28,68,37,3,4,70,3,44.5,41.3,33.3,74.6,625,1425,1.18,0.82,2.00,1.09,1.91,1.31,0.98,2.29,1.22,2.19
78,Rennes,fr Ligue 1,29,25.2,52.1,34,374,"3,060",34.0,53,29,82,43,10,11,66,4,53.1,44.5,31.8,76.3,606,1639,1.56,0.85,2.41,1.26,2.12,1.56,0.93,2.50,1.31,2.24
79,Roma,it Serie A,30,27.7,54.9,38,418,"3,420",38.0,64,44,108,53,11,12,95,3,51.4,42.3,34.4,76.7,682,1469,1.68,1.16,2.84,1.39,2.55,1.35,0.91,2.26,1.11,2.02
80,Salernitana,it Serie A,39,27.3,44.5,38,418,"3,420",38.0,32,25,57,30,2,2,91,3,30.3,28.7,22.4,51.1,499,1119,0.84,0.66,1.50,0.79,1.45,0.80,0.59,1.39,0.76,1.34
81,Sassuolo,it Serie A,30,26.4,43.8,38,418,"3,420",38.0,42,28,70,35,7,8,71,4,39.8,33.8,25.9,59.7,636,1301,1.11,0.74,1.84,0.92,1.66,1.05,0.68,1.73,0.89,1.57
82,Sevilla,es La Liga,35,28.6,50.3,38,418,"3,420",38.0,46,30,76,44,2,2,108,4,44.9,43.3,31.7,75.0,635,1416,1.21,0.79,2.00,1.16,1.95,1.18,0.83,2.01,1.14,1.97
83,Sheffield Utd,eng Premier League,35,25.7,35.8,38,418,"3,420",38.0,31,18,49,26,5,5,101,5,38.3,34.4,25.8,60.2,343,884,0.82,0.47,1.29,0.68,1.16,1.01,0.68,1.69,0.91,1.58
84,Strasbourg,fr Ligue 1,30,24.1,44.3,34,374,"3,060",34.0,36,24,60,33,3,4,59,2,41.8,38.7,31.6,70.3,547,1152,1.06,0.71,1.76,0.97,1.68,1.23,0.93,2.16,1.14,2.07
85,Stuttgart,de Bundesliga,27,25.0,59.9,34,374,"3,060",34.0,78,60,138,73,5,8,56,1,70.9,64.6,53.3,117.9,693,1618,2.29,1.76,4.06,2.15,3.91,2.08,1.57,3.65,1.90,3.47
86,Torino,it Serie A,30,26.4,51.6,38,418,"3,420",38.0,35,29,64,33,2,2,75,2,37.7,36.1,30.1,66.2,710,1333,0.92,0.76,1.68,0.87,1.63,0.99,0.79,1.78,0.95,1.74
87,Tottenham,eng Premier League,29,25.2,61.6,38,418,"3,420",38.0,69,58,127,67,2,2,92,4,68.2,66.7,57.4,124.1,957,2107,1.82,1.53,3.34,1.76,3.29,1.79,1.51,3.31,1.75,3.27
88,Toulouse,fr Ligue 1,26,23.8,48.4,34,374,"3,060",34.0,42,30,72,36,6,9,77,1,40.3,33.3,26.4,59.7,549,1405,1.24,0.88,2.12,1.06,1.94,1.18,0.78,1.96,0.98,1.75
89,Udinese,it Serie A,32,25.7,39.3,38,418,"3,420",38.0,36,23,59,33,3,4,94,5,39.1,36.8,28.0,64.9,601,1022,0.95,0.61,1.55,0.87,1.47,1.03,0.74,1.77,0.97,1.71
90,Union Berlin,de Bundesliga,30,28.1,42.9,34,374,"3,060",34.0,33,23,56,30,3,6,67,7,40.1,35.3,25.0,60.3,389,1146,0.97,0.68,1.65,0.88,1.56,1.18,0.74,1.91,1.04,1.77
91,Valencia,es La Liga,29,23.8,44.3,38,418,"3,420",38.0,39,24,63,31,8,9,64,5,43.1,36.2,27.0,63.2,522,1162,1.03,0.63,1.66,0.82,1.45,1.13,0.71,1.85,0.95,1.66
92,Villarreal,es La Liga,32,27.9,49.6,38,418,"3,420",38.0,64,47,111,59,5,7,110,8,55.6,50.1,40.5,90.6,654,1558,1.68,1.24,2.92,1.55,2.79,1.46,1.07,2.53,1.32,2.38
93,Werder Bremen,de Bundesliga,30,27.0,46.8,34,374,"3,060",34.0,45,33,78,40,5,6,73,2,46.9,42.0,35.6,77.6,492,1172,1.32,0.97,2.29,1.18,2.15,1.38,1.05,2.43,1.24,2.28
94,West Ham,eng Premier League,26,28.3,41.1,38,418,"3,420",38.0,58,40,98,54,4,5,82,3,52.3,48.4,34.8,83.2,556,1207,1.53,1.05,2.58,1.42,2.47,1.38,0.92,2.29,1.27,2.19
95,Wolfsburg,de Bundesliga,28,25.6,48.0,34,374,"3,060",34.0,41,27,68,39,2,3,86,5,39.2,36.7,28.5,65.2,441,1235,1.21,0.79,2.00,1.15,1.94,1.15,0.84,1.99,1.08,1.92
96,Wolves,eng Premier League,27,26.6,48.9,38,418,"3,420",38.0,47,36,83,43,4,4,102,4,46.7,43.6,31.8,75.4,671,1180,1.24,0.95,2.18,1.13,2.08,1.23,0.84,2.07,1.15,1.98
